SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,revenue_at_risk
0,1,85.0,85.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9077930533840601,77.16240953764512
1,4,88.85,372.45,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.9077789690896151,80.6561614036123
1,5,91.4,449.75,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9074119007738263,82.93744773072773
1,6,89.35,567.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.907120151860742,81.05118556875729
1,6,98.25,560.6,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9068215300916369,89.09521533150333
1,3,105.0,294.45,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9064455186877474,95.17677946221347
1,5,89.5,477.7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9063692025740476,81.12004363037727
0,1,86.6,86.6,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9060895359003184,78.46735380896757
0,2,85.7,169.8,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9060030472698928,77.64446115102982
0,1,90.75,90.75,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9058715917221366,82.2078469487839
0,7,94.1,701.3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9054835149197213,85.20599875394578
1,7,89.5,676.7,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9052929219876248,81.02371651789242
0,1,93.3,93.3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9049474758219908,84.43159949419173
1,16,96.4,1581.2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9049453781581074,87.23673445444156
0,9,94.75,889.9,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9048464914110753,85.73420506119939
1,8,84.0,613.4,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.904718027668672,75.99631432416845
1,4,83.25,308.05,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.9045782554295426,75.30613976450942
1,4,94.75,422.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9039256483531494,85.6469551814609
0,7,93.85,635.6,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9036660889285217,84.80906244594176
1,16,96.15,1529.2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9034539067179996,86.86709313093567
1,7,89.0,605.45,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9031045154928694,80.37630187886538
0,2,90.4,168.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9030020709925692,81.63138721772826
0,2,86.0,165.45,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9029222574050186,77.6513141368316
1,12,99.45,1200.15,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9029020670731113,89.79361057042092
0,11,94.0,1078.9,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9028141187498823,84.86452716248893
1,7,89.15,574.35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.902586080380343,80.46554906590758
1,6,95.75,573.75,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9025848605449295,86.422500397177
1,14,95.6,1273.3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9025459686714393,86.2833946049896
0,1,90.55,90.55,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9025285869263802,81.72396354618373
1,2,79.6,195.05,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9024872472097959,71.83798487789974
0,1,89.9,89.9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.901903578521143,81.08113170905077
0,8,99.65,820.5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9016900435635236,89.85341284110513
0,1,89.55,89.55,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9015655580645472,80.7351957246802
0,1,89.25,89.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.901275000812823,80.43879382254445
0,1,89.1,89.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9011294359771483,80.29063274556391
1,1,88.8,88.8,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.9010276967247509,80.01125946915788
1,9,84.45,762.5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9010119199569933,76.09045664036809
1,17,92.55,1614.7,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9007829209583358,83.36745933469398
0,9,95.5,829.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9007500711449659,86.02163179434424
1,10,86.65,856.65,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9006671052817173,78.04280467266081
0,4,100.2,420.2,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9005788066250684,90.23799642383186
0,1,99.75,99.75,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9004861518877297,89.82349365080104
1,8,105.5,829.55,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.9004168816150478,94.99398101038754
0,1,88.35,88.35,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.9003987424528527,79.55022889570952
0,3,85.3,264.8,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9000816235063249,76.77696248508951
1,1,74.45,74.45,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8995325425078926,66.97019778971261
0,3,89.45,240.45,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8992390550485165,80.43693347408981
0,10,100.6,1060.2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.89922095777532,90.46162835219718
1,1,90.6,90.6,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8991507256208483,81.46305574124885
0,3,92.0,266.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8989519391010287,82.70357839729463
1,17,94.2,1608.15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8989148157632185,84.67777564489519
1,1,85.0,85.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.8987095597150573,76.39031257577987
1,14,95.8,1346.3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8985005381284795,86.07635155270833
1,17,94.8,1563.9,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8982560998635469,85.15467826706424
1,12,101.35,1218.55,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.898175001510713,91.03003640311076
1,9,85.05,746.5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8977789287545267,76.3560978905725
1,9,83.85,790.15,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8977313801428142,75.27477622497496
0,4,85.65,338.9,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8975429910450157,76.87455718300559
1,19,94.95,1760.25,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8972869308377556,85.1973940830449
1,4,89.2,346.2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.8971087995189377,80.02210491708925
0,1,84.6,84.6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8970574340930639,75.89105892427321
0,11,99.5,1056.95,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8966032370926688,89.21202209072054
0,10,98.5,1037.75,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8964885936371996,88.30412647326416
1,16,98.75,1587.55,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8963991428597269,88.51941535739803
0,11,100.75,1129.75,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8963476773143589,90.30702848942167
0,2,84.05,134.05,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8963201832848245,75.3357114050895
1,1,74.4,74.4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8960301372980138,66.66464221497223
1,1,74.2,74.2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8959394564433419,66.47870766809598
1,18,95.45,1752.55,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8955690491539637,85.48206574174584
0,8,84.9,764.95,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8953019948960935,76.01113936667835
1,1,73.55,73.55,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8951638976131112,65.83930466944433
0,12,96.05,1148.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8950708348881284,85.97155369100473
1,14,100.2,1369.8,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8947412792499269,89.65307618084267
1,1,76.45,76.45,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.894711752692636,68.40071349335203
0,2,95.85,197.7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8945834833378146,85.74582687792952
1,10,89.8,914.3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0.894083288977727,80.28867935019989
0,12,94.2,1046.1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8940721581278481,84.22159729564329
1,1,75.75,75.75,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8939908699472583,67.71980839850481
1,1,72.1,72.1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8937861072841807,64.44197833518943
1,5,89.8,502.6,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.893672321060093,80.25177443119635
1,1,75.35,75.35,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8935769864431965,67.33102592849485
1,8,92.1,729.95,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8935671204397694,82.29753179250275
0,6,89.5,573.3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.893347349476112,79.95458777811203
0,4,88.45,370.65,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8932747586253738,79.01015240041431
1,1,79.2,79.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8931366878563662,70.73642567822421
1,1,74.7,74.7,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8929013897160123,66.69973381178612
1,4,99.6,347.65,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.892755801254166,88.91847780491493
0,4,85.95,381.3,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8925967564888332,76.71869122021522
1,1,74.4,74.4,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8925883046603298,66.40856986672854
0,1,90.1,90.1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8923890037158442,80.40424923479756
0,1,81.95,81.95,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8922690964080823,73.12145245064235
0,2,85.65,181.5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8921824411159899,76.41542608158454
1,20,94.55,1899.65,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8920855150142628,84.34668544459855
0,6,91.1,455.3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.891807742695342,81.24368535954565
1,1,73.65,73.65,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8918020677767581,65.68122229175823
0,2,45.25,85.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8917433780708126,40.35138785770427
0,1,89.35,89.35,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8917180684807351,79.67500941875367
1,3,80.4,224.05,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8916926817038888,71.69209160899267
0,3,94.9,273.2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.8916546391492912,84.61802525526774
0,1,81.1,81.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8913753198601716,72.29053844065992
0,6,105.3,545.2,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8913480170197353,93.85894619217812
0,7,86.8,620.35,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8913013677426015,77.36495872005781
1,7,84.8,546.95,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8910332281476243,75.55961774691853
0,11,102.0,1145.35,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8905932044644014,90.84050685536894
1,6,44.4,263.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8905665765823766,39.54115600025752
1,7,95.6,644.35,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.8905325979178385,85.13491636094535
0,2,91.4,193.6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.8903375070781849,81.3768481469461
0,1,79.7,79.7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8898890218964787,70.92415504514935
0,2,91.45,171.45,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.8896640207324785,81.35977469598517
0,1,90.85,90.85,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.8896466754768381,80.82440046707073
0,5,94.45,498.1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8896302256013203,84.02557480804471
1,3,77.0,237.75,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8895396670474063,68.49455436265028
0,4,85.65,321.65,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8894698598887084,76.18309349946789
1,1,79.1,79.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.8893851193973201,70.35036294432801
0,1,50.35,50.35,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8892452608344096,44.77349888301252
1,1,86.0,86.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8888784772175541,76.44354904070966
1,21,94.25,1973.75,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.888807047818717,83.77006425691408
1,14,104.85,1531.4,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.8886698311782203,93.1770317990364
0,7,99.8,673.25,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.888620581431039,88.68433402681768
